Year,Manufacturer,Division,Model,Index (Model Type Index),Displacement,Cylinders,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,# Gears,Drive Sys,Drive Desc,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Energy Storage Device Desc,# Batteries,Battery Type Desc,Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,MFR Calculated Gas Guzzler MPG ,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),$ You Spend over 5 years ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted
2019,General Motors,Chevrolet,K10 SILVERADO 4WD,723,5.3,8,Auto(A6),15,20,17,18.7736,28.4603,22.169,15.1779,20,17.1996,,NA,Naturally Aspirated,A,Automatic,6,4,4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,1,1,13,Standard Pick-up Trucks 4WD,,,,,,,,,,,,,3,3,,5,4250,586,445,517
2019,General Motors,Cadillac,ESCALADE 2WD,537,6.2,8,Auto(A10),14,23,17,17.7,31.5,22.0463,14.3609,22.5804,17.1741,,NA,Naturally Aspirated,A,Automatic,10,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2650,1,1,32,Standard SUV 2WD,,,,,,,,,,,,,3,3,,3,6250,618,393,517
2019,General Motors,Chevrolet,C1500 SUBURBAN 2WD,539,6.2,8,Auto(A10),14,23,17,17.7,31.5,22.0463,14.3609,22.5804,17.1741,,NA,Naturally Aspirated,A,Automatic,10,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2650,1,1,32,Standard SUV 2WD,,,,,,,,,,,,,3,3,,3,6250,618,393,517
2019,General Motors,Chevrolet,C1500 TAHOE 2WD,538,6.2,8,Auto(A10),14,23,17,17.7,31.5,22.0463,14.3609,22.5804,17.1741,,NA,Naturally Aspirated,A,Automatic,10,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2650,1,1,32,Standard SUV 2WD,,,,,,,,,,,,,3,3,,3,6250,618,393,517
2019,General Motors,GMC,C1500 YUKON 2WD,540,6.2,8,Auto(A10),14,23,17,17.7,31.5,22.0463,14.3609,22.5804,17.1741,,NA,Naturally Aspirated,A,Automatic,10,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2650,1,1,32,Standard SUV 2WD,,,,,,,,,,,,,3,3,,3,6250,618,393,517
2019,General Motors,GMC,C1500 YUKON XL 2WD,541,6.2,8,Auto(A10),14,23,17,17.7,31.5,22.0463,14.3609,22.5804,17.1741,,NA,Naturally Aspirated,A,Automatic,10,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2650,1,1,32,Standard SUV 2WD,,,,,,,,,,,,,3,3,,3,6250,618,393,517
2019,Mercedes-Benz,Mercedes-Benz,AMG GT 63 4MATIC+,530,4.0,8,Auto(A9),15,20,17,18.8,28.3,22.1453,15.1979,20.4361,17.1795,G,TC,Turbocharged,A,Automatic,9,4,4-Wheel Drive,GPR,Gasoline (Premium Unleaded Required),2650,2,2,4,Compact Cars,,,,,,,,,,,,22.3,3,3,,5,6250,586,437,519
2019,Nissan,NISSAN,FRONTIER 4WD,183,4.0,6,Auto(A5),15,21,17,18.6762,28.5762,22.1255,15.104,20.6224,17.1718,,NA,Naturally Aspirated,A,Automatic,5,P,Part-time 4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,2,2,11,Small Pick-up Trucks 4WD,,,,,,,,,,,,,3,3,,3,4250,590,433,519
2019,Mercedes-Benz,Mercedes-Benz,AMG GT 63 S 4MATIC+,531,4.0,8,Auto(A9),15,20,17,18.7,28.3,22.0688,15.1221,20.4361,17.1261,G,TC,Turbocharged,A,Automatic,9,4,4-Wheel Drive,GPR,Gasoline (Premium Unleaded Required),2650,2,2,4,Compact Cars,,,,,,,,,,,,22.2,3,3,,5,6250,590,436,521
2019,BMW,BMW,M5,560,4.4,8,Auto(S8),15,21,17,18.1512,29.0277,21.8324,14.705,20.9265,16.9762,G,TC,Turbocharged,SA,Semi-Automatic,8,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2650,2,2,5,Midsize Cars,,,,,,,,,,,,22,3,3,,3,6250,602,423,521
